data/text/trainers.inc:1367:	.string "touch it.$"
data/maps/Route117_PokemonDayCare/scripts.inc:76:	.string "This gift won't count for the stone.$"
data/maps/Route117_PokemonDayCare/scripts.inc:80:	.string "For the stone, hatch an EGG produced\n"
data/maps/RockTunnel_B1F_Frlg/scripts.inc:48:	.string "markers.$"
data/maps/Route104_PrettyPetalFlowerShop/scripts.inc:112:	.string "The Berry Master trades stones, too.$"
data/maps/FallarborTown_CozmosHouse/scripts.inc:123:	.string "Clefairy gather around these stones.\n"
data/maps/FallarborTown_CozmosHouse/scripts.inc:127:	.string "METEOR FALLS has iron-rich stone. Level\n"
data/maps/MtPyre_Summit/scripts.inc:671:	.string "Stop MAGMA before they awaken\n"
data/maps/MtPyre_Summit/scripts.inc:687:	.string "The stolen ORBS can awaken\n"
data/maps/MtPyre_Summit/scripts.inc:696:	.string "they awaken GROUDON.$"
data/maps/MtPyre_Summit/scripts.inc:700:	.string "awake? Then we are all in danger.\p"
data/maps/BattleFrontier_ScottsHouse/scripts.inc:270:	.string "CHAMPIONS CIRCUIT. I want to see\l"
data/maps/ScorchedSlab_B2F/scripts.inc:9:	.string "among these hot stones. RESHIRAM!\p"
data/maps/Route111/scripts.inc:895:	.string "That carved stone just east of me\n"
data/maps/Route111/scripts.inc:900:	.string "You can return to the stone even after\n"
data/maps/Route111/scripts.inc:904:	.string "A curse is carved into this stone.\p"
data/maps/Route111/scripts.inc:908:	.string "Let the stone call to your party?$"
data/maps/Route111/scripts.inc:911:	.string "The stone falls silent. Bring a\n"
data/maps/Route110/scripts.inc:967:	.string "Your technique is remarkable.\p"
data/maps/BattleFrontier_OutsideEast/scripts.inc:249:	.string "CHAMPIONS CIRCUIT RECEPTION\n"
data/maps/SootopolisCity_Gym_1F/scripts.inc:185:	.string "Yo! How's it going, CHAMPION-\n"
data/maps/SootopolisCity_Gym_1F/scripts.inc:238:	.string "Evolve. Let it hold the stone in\l"
data/maps/Route116/scripts.inc:411:	.string "I dropped a dark stone with a purple\n"
data/maps/BattleFrontier_BattlePyramidLobby/scripts.inc:812:	.string "the power of stones…\p"
data/maps/PacifidlogTown_House2/scripts.inc:123:	.string "evolution stones.\p"
data/maps/EverGrandeCity_ChampionsRoom/scripts.inc:238:	.string "I am WALLACE, HOENN's CHAMPION. I\n"
data/maps/EverGrandeCity_ChampionsRoom/scripts.inc:253:	.string "CHAMPION!$"
data/maps/EverGrandeCity_ChampionsRoom/scripts.inc:290:	.string "new CHAMPION!$"
data/maps/EverGrandeCity_ChampionsRoom/scripts.inc:295:	.string "The new CHAMPION!\p"
data/maps/EverGrandeCity_ChampionsRoom/scripts.inc:301:	.string "have become CHAMPIONS may enter.\p"
data/maps/MauvilleCity/scripts.inc:555:	.string "Now I can get in touch with you\n"
data/maps/MossdeepCity_Gym/scripts.inc:382:	.string "Yo, how's it going, CHAMPION-bound\n"
data/maps/MossdeepCity_Gym/scripts.inc:585:	.string "Evolve. Let it hold the stone.$"
data/maps/DewfordTown_House1/scripts.inc:53:	.string "Its grown form can use this stone.$"
data/maps/MeteorFalls_1F_2R/scripts.inc:76:	.string "The CHAMPION even visits.\n"
data/maps/VictoryRoad_3F_Frlg/scripts.inc:149:	.string "champions together.$"
data/maps/DewfordTown_Hall/scripts.inc:456:	.string "you're awake or asleep.\p"
data/maps/BattleFrontier_BattleDomePreBattleRoom/scripts.inc:330:	.string "You're one win from the championship.\n"
data/maps/Route114_LanettesHouse/scripts.inc:71:	.string "A marking system should be added to\n"
data/maps/Route114_LanettesHouse/scripts.inc:80:	.string "sent to the BOX inspected last.\p"
data/maps/VictoryRoad_1F/scripts.inc:168:	.string "going and become the CHAMPION!\p"
data/maps/VictoryRoad_1F/scripts.inc:187:	.string "to become the CHAMPION…$"
data/maps/VictoryRoad_1F/scripts.inc:198:	.string "becoming the CHAMPION.$"
data/maps/VictoryRoad_1F/scripts.inc:211:	.string "to become the POKéMON CHAMPION.\p"
data/maps/MtChimney/scripts.inc:559:	.string "This machine will awaken the\n"
data/maps/MtChimney/scripts.inc:574:	.string "awaken it.$"
data/maps/MtChimney/scripts.inc:750:	.string "Please, keep in touch and tell me\n"
data/maps/PokemonLeague_HallOfFame_Frlg/scripts.inc:61:	.string "POKéMON LEAGUE CHAMPIONS are\n"
data/maps/PokemonLeague_HallOfFame_Frlg/scripts.inc:67:	.string "the new LEAGUE CHAMPION.\p"
data/maps/BattleFrontier_Lounge2/scripts.inc:356:	.string "enters the CHAMPIONS CIRCUIT!\p"
data/maps/BattleFrontier_BattleTowerBattleRoom/scripts.inc:86:	.string "The CHAMPIONS CIRCUIT is ready.\n"
data/maps/PokemonLeague_ChampionsRoom_Frlg/scripts.inc:238:	.string "I'm the POKéMON LEAGUE CHAMPION!\p"
data/maps/PokemonLeague_ChampionsRoom_Frlg/scripts.inc:256:	.string "I'm the POKéMON LEAGUE CHAMPION!\p"
data/maps/PokemonLeague_ChampionsRoom_Frlg/scripts.inc:289:	.string "LEAGUE CHAMPION!\p"
data/maps/PokemonLeague_ChampionsRoom_Frlg/scripts.inc:299:	.string "CHAMPION!\p"
data/maps/SixIsland_RuinValley_Frlg/scripts.inc:61:	.string "On closer inspection, there are\n"
data/maps/SixIsland_RuinValley_Frlg/scripts.inc:95:	.string "mysterious stones on this island.\p"
data/maps/GraniteCave_StevensRoom/scripts.inc:145:	.string "remaining stone. I'll keep it here.\p"
data/maps/GraniteCave_StevensRoom/scripts.inc:189:	.string "stone, one partner can Mega Evolve\l"
data/maps/GraniteCave_StevensRoom/scripts.inc:191:	.string "Have your partner hold its stone.\n"
data/maps/SixIsland_OutcastIsland_Frlg/scripts.inc:88:	.string "because I can't touch the bottom.$"
data/maps/MeteorFalls_StevensCave/scripts.inc:51:	.string "become the CHAMPION.\p"
data/maps/MossdeepCity_SpaceCenter_2F/scripts.inc:499:	.string "ARCHIE before he awakens KYOGRE.$"
data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc:679:	.string "the CHAMPION research notes!$"
data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc:683:	.string "You've become the CHAMPION,\l"
data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc:704:	.string "species! What a remarkable record\l"
data/maps/VerdanturfTown_WandasHouse/scripts.inc:181:	.string "stone can deepen that partnership.$"
data/maps/VerdanturfTown_House/scripts.inc:21:	.string "CHAMPION waiting beyond them.\p"
data/maps/VerdanturfTown_House/scripts.inc:41:	.string "I think this stone belongs with\n"
data/maps/LavaridgeTown_House/scripts.inc:43:	.string "Take this stone on your journey.$"
data/maps/LavaridgeTown_House/scripts.inc:57:	.string "Machamp carried the stones that\n"
data/maps/FortreeCity_House1/scripts.inc:95:	.string "Take this stone if you find one.\n"
data/maps/SlateportCity/scripts.inc:999:	.string "And where people gather, a market\n"
data/maps/SlateportCity/scripts.inc:1437:	.string "That GENGARITE marks a contender.\n"
data/maps/AbandonedShip_Room_B1F/scripts.inc:42:	.string "the stone in place?$"
data/maps/FuchsiaCity_Gym_Frlg/scripts.inc:153:	.string "That's remarkable for a child\n"
data/maps/BattleFrontier_Mart/scripts.inc:63:	.string "the CHAMPIONS CIRCUIT.$"
data/maps/MtPyre_6F/scripts.inc:143:	.string "spills from the tombstone--PECHARUNT!$"
data/maps/MtPyre_6F/scripts.inc:146:	.string "The tombstone is still. Three faded\n"
data/maps/RustboroCity_DevonCorp_1F/scripts.inc:128:	.string "a producer of stones from quarries.\p"
data/maps/RustboroCity_DevonCorp_1F/scripts.inc:141:	.string "DEVON now markets sundries and\l"
data/maps/RustboroCity_DevonCorp_1F/scripts.inc:143:	.string "“Recently, DEVON has begun marketing\n"
data/maps/CinnabarIsland_PokemonLab_Lounge_Frlg/scripts.inc:85:	.string "I found this most remarkable fossil\n"
data/maps/EverGrandeCity_DrakesRoom/scripts.inc:87:	.string "Go on. The CHAMPION's waiting.$"
data/maps/Route110_TrickHouseEntrance/scripts.inc:807:	.string "…On closer inspection, this is written\n"
data/maps/AshenWoods/scripts.inc:205:	.string "stone. Can your team outlast\l"
data/maps/FallarborTown_BattleTentLobby/scripts.inc:358:	.string "the CHAMPIONS CIRCUIT. You return\l"
data/maps/EverGrandeCity_HallOfFame/scripts.inc:87:	.string "It is here that the LEAGUE CHAMPIONS\n"
data/maps/DewfordTown_PokemonCenter_1F/scripts.inc:28:	.string "There's a stone cavern at the edge\n"
data/maps/DewfordTown_PokemonCenter_1F/scripts.inc:30:	.string "I've heard you can find rare stones\n"
data/maps/MagmaHideout_1F/scripts.inc:46:	.string "He says the BLUE ORB will awaken\l"
data/maps/SlateportCity_NameRatersHouse/scripts.inc:127:	.string "It left this curious stone behind.\n"
data/maps/LilycoveCity/scripts.inc:46:	.string "Very well. The stone will wait until\n"
data/maps/AquaHideout_1F/scripts.inc:67:	.string "awaken an awesome POKéMON at their\l"
data/maps/Route114_FossilManiacsTunnel/scripts.inc:98:	.string "Perhaps fossils are meant to awaken…\p"
data/maps/BattleFrontier_BattlePyramidTop/scripts.inc:306:	.string "Remarkable!\l"
data/maps/Route115/scripts.inc:128:	.string "Its first chamber is wet stone.\n"
data/maps/RustboroCity_Gym/scripts.inc:311:	.string "the stairs to the CHAMPIONSHIP!\p"
data/maps/RustboroCity_Gym/scripts.inc:379:	.string "It also marks your first true\n"
data/maps/Route110_TrickHousePuzzle8/scripts.inc:46:	.string "CHAMPION? That's too much!$"
data/maps/LilycoveCity_House4/scripts.inc:37:	.string "I kept this stone in gratitude.\n"
data/maps/LilycoveCity_House4/scripts.inc:54:	.string "This stone shines like a Starmie.\n"
data/maps/CeladonCity_PokemonCenter_1F_Frlg/scripts.inc:30:	.string "A POKé FLUTE awakens sleeping\n"
data/maps/OneIsland_PokemonCenter_1F_Frlg/scripts.inc:624:	.string "We keep in touch, being fellow\n"
data/maps/OneIsland_PokemonCenter_1F_Frlg/scripts.inc:746:	.string "needs a special gemstone.\p"
data/maps/OneIsland_PokemonCenter_1F_Frlg/scripts.inc:781:	.string "While I was studying gemstones,\n"
data/maps/OneIsland_PokemonCenter_1F_Frlg/scripts.inc:785:	.string "That other gemstone is supposed to\n"
data/maps/BattleFrontier_BattleTowerLobby/scripts.inc:502:	.string "Welcome to the CHAMPIONS CIRCUIT!\p"
data/maps/BattleFrontier_BattleTowerLobby/scripts.inc:512:	.string "Welcome back to the CHAMPIONS CIRCUIT.\n"
data/maps/BattleFrontier_BattleTowerLobby/scripts.inc:532:	.string "Circuit milestone reached!\p"
data/maps/BattleFrontier_BattleTowerLobby/scripts.inc:536:	.string "Circuit milestone reached!\p"
data/maps/BattleFrontier_BattleTowerLobby/scripts.inc:546:	.string "The CHAMPIONS CIRCUIT welcomes\n"
data/maps/BattleFrontier_BattleTowerLobby/scripts.inc:1529:	.string "CHAMPIONS CIRCUIT\p"
data/maps/BattleFrontier_BattleTowerLobby/scripts.inc:1541:	.string "Milestone rewards remain recorded.$"
data/maps/BattleFrontier_BattleTowerLobby/scripts.inc:1544:	.string "CHAMPIONS CIRCUIT\p"
data/maps/SootopolisCity_MysteryEventsHouse_1F/scripts.inc:217:	.string "League or the Frontier's CHAMPIONS\l"
data/maps/BattleFrontier_ReceptionGate/scripts.inc:327:	.string "Every desk enters the CHAMPIONS\n"
data/maps/BattleFrontier_ReceptionGate/scripts.inc:346:	.string "CHAMPIONS CIRCUIT at the central\l"
data/maps/BattleFrontier_ReceptionGate/scripts.inc:353:	.string "CHAMPIONS CIRCUIT at the central\l"
data/maps/BattleFrontier_ReceptionGate/scripts.inc:360:	.string "CHAMPIONS CIRCUIT at the central\l"
data/maps/BattleFrontier_ReceptionGate/scripts.inc:367:	.string "CHAMPIONS CIRCUIT at the central\l"
data/maps/BattleFrontier_ReceptionGate/scripts.inc:374:	.string "CHAMPIONS CIRCUIT at the central\l"
data/maps/BattleFrontier_ReceptionGate/scripts.inc:381:	.string "CHAMPIONS CIRCUIT at the central\l"
data/maps/BattleFrontier_ReceptionGate/scripts.inc:388:	.string "CHAMPIONS CIRCUIT at the central\l"
data/maps/BattleFrontier_ReceptionGate/scripts.inc:395:	.string "CHAMPIONS CIRCUIT run, best\l"
data/maps/BattleFrontier_ReceptionGate/scripts.inc:496:	.string "current CHAMPIONS CIRCUIT results.$"
data/maps/BattleFrontier_BattleDomeBattleRoom/scripts.inc:983:	.string "the championship?\p"
data/maps/BattleFrontier_BattleDomeBattleRoom/scripts.inc:987:	.string "Can the feat of a championship\n"
data/maps/BattleFrontier_BattleDomeBattleRoom/scripts.inc:998:	.string "the first championship try!\p"
data/maps/BattleFrontier_BattleDomeBattleRoom/scripts.inc:1008:	.string "a championship finally come true?\p"
data/maps/BattleFrontier_BattleDomeBattleRoom/scripts.inc:1012:	.string "The invincible champion!\p"
data/maps/BattleFrontier_BattleDomeBattleRoom/scripts.inc:1026:	.string "The current champion aiming to\n"
data/maps/BattleFrontier_BattleDomeBattleRoom/scripts.inc:1031:	.string "The former champion has returned!\p"
data/maps/BattleFrontier_BattleDomeLobby/scripts.inc:583:	.string "Today's Circuit records are marked\n"
data/maps/CeladonCity_Gym_Frlg/scripts.inc:105:	.string "You are remarkably strong.\p"
data/maps/RustboroCity_Flat2_3F/scripts.inc:14:	.string "rare stones.$"
data/maps/RustboroCity_Flat2_3F/scripts.inc:18:	.string "collects rare stones.$"
data/maps/BattleFrontier_BattlePalaceCorridor/scripts.inc:136:	.string "A POKéMON's nature is a remarkable\n"
data/maps/SevenIsland_Frlg/scripts.inc:55:	.string "untouched in its natural state.\p"
data/maps/EverGrandeCity_PokemonCenter_1F/scripts.inc:94:	.string "championship!\p"
data/maps/PokemonLeague_LancesRoom_Frlg/scripts.inc:208:	.string "CHAMPION!\p"
data/maps/PokemonLeague_LancesRoom_Frlg/scripts.inc:217:	.string "CHAMPION.$"
data/maps/LittlerootTown_BrendansHouse_1F/scripts.inc:298:	.string "DAD bought you a new clock to mark\n"
data/maps/VerdanturfTown_FriendshipRatersHouse/scripts.inc:156:	.string "This stone is for a Raichu.\n"
